City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cheremshan,54.6667,51.5,56.19,49,40,3.4,RU,1627249903
Rikitea,-23.1203,-134.9692,71.01,67,19,4.7,PF,1627249904
Kalmunai,7.4167,81.8167,80.02,79,100,4.85,LK,1627249904
Sinnamary,5.3833,-52.95,78.53,82,81,6.64,GF,1627249905
Kazanskoye,55.6448,69.235,51.78,79,1,9.73,RU,1627249905
Torbay,47.6666,-52.7314,58.75,88,75,11.5,CA,1627249906
Albany,42.6001,-73.9662,83.84,84,36,3.98,US,1627249860
Saint-Leu,-21.15,55.2833,67.03,73,55,4.7,RE,1627249907
Aripuanã,-9.1667,-60.6333,84.67,39,18,1.41,BR,1627249907
Tuatapere,-46.1333,167.6833,45.82,94,100,3.11,NZ,1627249908
Bang Saphan,11.2126,99.5117,78.3,85,100,6.31,TH,1627249908
Saint George,37.1041,-113.5841,96.33,31,1,8.05,US,1627249622
Antigonish,45.6169,-61.9986,74.19,67,73,1.99,CA,1627249621
Shelburne,44.0787,-80.2041,82.67,37,0,11.21,CA,1627249910
Ushuaia,-54.8,-68.3,35.26,87,40,26.46,AR,1627249796
Longyearbyen,78.2186,15.6401,42.37,87,99,0.4,SJ,1627249864
Castro,-24.7911,-50.0119,57.04,65,2,4.47,BR,1627249911
Cabo San Lucas,22.8909,-109.9124,95.81,70,8,8.5,MX,1627249912
Busselton,-33.65,115.3333,58.08,65,18,21.12,AU,1627249912
Loviisa,60.4566,26.2251,66.45,70,100,6.13,FI,1627249913
Port Alfred,-33.5906,26.891,61.16,37,65,10.27,ZA,1627249914
Tuktoyaktuk,69.4541,-133.0374,48.2,93,90,17.27,CA,1627249914
Prokop'yevsk,53.9059,86.719,63.95,92,99,4.34,RU,1627249915
Emerald,-23.5333,148.1667,52.99,43,28,8.05,AU,1627249915
Kruisfontein,-34.0033,24.7314,55.0,33,67,8.16,ZA,1627249916
Sosnovoborsk,56.1325,93.3589,60.35,87,0,2.93,RU,1627249916
Zhigansk,66.7697,123.3711,62.74,63,29,9.22,RU,1627249898
Naberera,-4.2,36.9333,57.76,58,42,10.56,TZ,1627249917
Aklavik,68.2191,-135.0107,54.32,69,100,14.88,CA,1627249343
Bluff,-46.6,168.3333,45.81,85,100,6.11,NZ,1627249918
Danielskuil,-28.1887,23.5395,42.26,42,99,8.34,ZA,1627249919
Khatanga,71.9667,102.5,52.32,76,33,5.19,RU,1627249824
Provideniya,64.3833,-173.3,48.31,93,90,6.71,RU,1627249832
Avarua,-21.2078,-159.775,78.85,78,20,9.22,CK,1627249920
San Quintín,30.4833,-115.95,68.58,82,100,5.57,MX,1627249921
Puerto Ayora,-0.7393,-90.3518,80.56,85,41,10.0,EC,1627249922
